time,inlet,outlet,drop
0.2645,29.0875,0.0,29.0875
0.265,29.0841,0.0,29.0841
0.2655,29.0807,0.0,29.0807
0.266,29.0774,0.0,29.0774
0.2665,29.0741,0.0,29.0741
0.267,29.0708,0.0,29.0708
0.2675,29.0675,0.0,29.0675
0.268,29.0643,0.0,29.0643
0.2685,29.061,0.0,29.061
0.269,29.0578,0.0,29.0578
0.2695,29.0547,0.0,29.0547
0.27,29.0515,0.0,29.0515
0.2705,29.0484,0.0,29.0484
0.271,29.0453,0.0,29.0453
0.2715,29.0422,0.0,29.0422
0.272,29.0391,0.0,29.0391
0.2725,29.0361,0.0,29.0361
0.273,29.033,0.0,29.033
0.2735,29.03,0.0,29.03
0.274,29.0271,0.0,29.0271
0.2745,29.0241,0.0,29.0241
0.275,29.0212,0.0,29.0212
0.2755,29.0183,0.0,29.0183
0.276,29.0154,0.0,29.0154
0.2765,29.0125,0.0,29.0125
0.277,29.0096,0.0,29.0096
0.2775,29.0068,0.0,29.0068
0.278,29.004,0.0,29.004
0.2785,29.0012,0.0,29.0012
0.279,28.9984,0.0,28.9984
0.2795,28.9957,0.0,28.9957
0.28,28.9929,0.0,28.9929
0.2805,28.9902,0.0,28.9902
0.281,28.9875,0.0,28.9875
0.2815,28.9849,0.0,28.9849
0.282,28.9822,0.0,28.9822
0.2825,28.9796,0.0,28.9796
0.283,28.977,0.0,28.977
0.2835,28.9744,0.0,28.9744
0.284,28.9718,0.0,28.9718
0.2845,28.9692,0.0,28.9692
0.285,28.9667,0.0,28.9667
0.2855,28.9641,0.0,28.9641
0.286,28.9616,0.0,28.9616
0.2865,28.9592,0.0,28.9592
0.287,28.9567,0.0,28.9567
0.2875,28.9542,0.0,28.9542
0.288,28.9518,0.0,28.9518
0.2885,28.9494,0.0,28.9494
0.289,28.947,0.0,28.947
0.2895,28.9446,0.0,28.9446
0.29,28.9422,0.0,28.9422
0.2905,28.9399,0.0,28.9399
0.291,28.9375,0.0,28.9375
0.2915,28.9352,0.0,28.9352
0.292,28.9329,0.0,28.9329
0.2925,28.9306,0.0,28.9306
0.293,28.9284,0.0,28.9284
0.2935,28.9261,0.0,28.9261
0.294,28.9239,0.0,28.9239
0.2945,28.9217,0.0,28.9217
0.295,28.9195,0.0,28.9195
0.2955,28.9173,0.0,28.9173
0.296,28.9151,0.0,28.9151
0.2965,28.913,0.0,28.913
0.297,28.9108,0.0,28.9108
0.2975,28.9087,0.0,28.9087
0.298,28.9066,0.0,28.9066
0.2985,28.9045,0.0,28.9045
0.299,28.9024,0.0,28.9024
0.2995,28.9003,0.0,28.9003
0.3,28.8983,0.0,28.8983
0.3005,28.8962,0.0,28.8962
0.301,28.8942,0.0,28.8942
0.3015,28.8922,0.0,28.8922
0.302,28.8902,0.0,28.8902
0.3025,28.8882,0.0,28.8882
0.303,28.8863,0.0,28.8863
0.3035,28.8843,0.0,28.8843
0.304,28.8824,0.0,28.8824
0.3045,28.8805,0.0,28.8805
0.305,28.8786,0.0,28.8786
0.3055,28.8767,0.0,28.8767
0.306,28.8748,0.0,28.8748
0.3065,28.8729,0.0,28.8729
0.307,28.871,0.0,28.871
0.3075,28.8692,0.0,28.8692
0.308,28.8674,0.0,28.8674
0.3085,28.8656,0.0,28.8656
0.309,28.8638,0.0,28.8638
0.3095,28.862,0.0,28.862
0.31,28.8602,0.0,28.8602
0.3105,28.8584,0.0,28.8584
0.311,28.8567,0.0,28.8567
0.3115,28.8549,0.0,28.8549
0.312,28.8532,0.0,28.8532
0.3125,28.8515,0.0,28.8515
0.313,28.8498,0.0,28.8498
0.3135,28.8481,0.0,28.8481
0.314,28.8464,0.0,28.8464
0.3145,28.8447,0.0,28.8447
0.315,28.8431,0.0,28.8431
0.3155,28.8414,0.0,28.8414
0.316,28.8398,0.0,28.8398
0.3165,28.8382,0.0,28.8382
0.317,28.8366,0.0,28.8366
0.3175,28.835,0.0,28.835
0.318,28.8334,0.0,28.8334
0.3185,28.8318,0.0,28.8318
0.319,28.8302,0.0,28.8302
0.3195,28.8287,0.0,28.8287
0.32,28.8271,0.0,28.8271
0.3205,28.8256,0.0,28.8256
0.321,28.8241,0.0,28.8241
0.3215,28.8226,0.0,28.8226
0.322,28.8211,0.0,28.8211
0.3225,28.8196,0.0,28.8196
0.323,28.8181,0.0,28.8181
0.3235,28.8166,0.0,28.8166
0.324,28.8152,0.0,28.8152
0.3245,28.8137,0.0,28.8137
0.325,28.8123,0.0,28.8123
0.3255,28.8108,0.0,28.8108
0.326,28.8094,0.0,28.8094
0.3265,28.808,0.0,28.808
0.327,28.8066,0.0,28.8066
0.3275,28.8052,0.0,28.8052
0.328,28.8038,0.0,28.8038
0.3285,28.8025,0.0,28.8025
0.329,28.8011,0.0,28.8011
0.3295,28.7998,0.0,28.7998
0.33,28.7984,0.0,28.7984
0.3305,28.7971,0.0,28.7971
0.331,28.7958,0.0,28.7958
0.3315,28.7945,0.0,28.7945
0.332,28.7932,0.0,28.7932
0.3325,28.7919,0.0,28.7919
0.333,28.7906,0.0,28.7906
0.3335,28.7893,0.0,28.7893
0.334,28.788,0.0,28.788
0.3345,28.7868,0.0,28.7868
0.335,28.7855,0.0,28.7855
0.3355,28.7843,0.0,28.7843
0.336,28.7831,0.0,28.7831
0.3365,28.7818,0.0,28.7818
0.337,28.7806,0.0,28.7806
0.3375,28.7794,0.0,28.7794
0.338,28.7782,0.0,28.7782
0.3385,28.777,0.0,28.777
0.339,28.7758,0.0,28.7758
0.3395,28.7747,0.0,28.7747
0.34,28.7735,0.0,28.7735
0.3405,28.7724,0.0,28.7724
0.341,28.7712,0.0,28.7712
0.3415,28.7701,0.0,28.7701
0.342,28.7689,0.0,28.7689
0.3425,28.7678,0.0,28.7678
0.343,28.7667,0.0,28.7667
0.3435,28.7656,0.0,28.7656
0.344,28.7645,0.0,28.7645
0.3445,28.7634,0.0,28.7634
0.345,28.7623,0.0,28.7623
0.3455,28.7612,0.0,28.7612
0.346,28.7602,0.0,28.7602
0.3465,28.7591,0.0,28.7591
0.347,28.758,0.0,28.758
0.3475,28.757,0.0,28.757
0.348,28.7559,0.0,28.7559
0.3485,28.7549,0.0,28.7549
0.349,28.7539,0.0,28.7539
0.3495,28.7529,0.0,28.7529
0.35,28.7519,0.0,28.7519
0.3505,28.7509,0.0,28.7509
0.351,28.7499,0.0,28.7499
0.3515,28.7489,0.0,28.7489
0.352,28.7479,0.0,28.7479
0.3525,28.7469,0.0,28.7469
0.353,28.7459,0.0,28.7459
0.3535,28.745,0.0,28.745
0.354,28.744,0.0,28.744
0.3545,28.7431,0.0,28.7431
0.355,28.7421,0.0,28.7421
0.3555,28.7412,0.0,28.7412
0.356,28.7403,0.0,28.7403
0.3565,28.7393,0.0,28.7393
0.357,28.7384,0.0,28.7384
0.3575,28.7375,0.0,28.7375
0.358,28.7366,0.0,28.7366
0.3585,28.7357,0.0,28.7357
0.359,28.7348,0.0,28.7348
0.3595,28.7339,0.0,28.7339
0.36,28.733,0.0,28.733
0.3605,28.7322,0.0,28.7322
0.361,28.7313,0.0,28.7313
0.3615,28.7304,0.0,28.7304
0.362,28.7296,0.0,28.7296
0.3625,28.7287,0.0,28.7287
0.363,28.7279,0.0,28.7279
0.3635,28.727,0.0,28.727
0.364,28.7262,0.0,28.7262
0.3645,28.7254,0.0,28.7254
0.365,28.7246,0.0,28.7246
0.3655,28.7238,0.0,28.7238
0.366,28.7229,0.0,28.7229
0.3665,28.7221,0.0,28.7221
0.367,28.7213,0.0,28.7213
0.3675,28.7206,0.0,28.7206
0.368,28.7198,0.0,28.7198
0.3685,28.719,0.0,28.719
0.369,28.7182,0.0,28.7182
0.3695,28.7174,0.0,28.7174
0.37,28.7167,0.0,28.7167
0.3705,28.7159,0.0,28.7159
0.371,28.7152,0.0,28.7152
0.3715,28.7144,0.0,28.7144
0.372,28.7137,0.0,28.7137
0.3725,28.7129,0.0,28.7129
0.373,28.7122,0.0,28.7122
0.3735,28.7115,0.0,28.7115
0.374,28.7107,0.0,28.7107
0.3745,28.71,0.0,28.71
0.375,28.7093,0.0,28.7093
0.3755,28.7086,0.0,28.7086
0.376,28.7079,0.0,28.7079
0.3765,28.7072,0.0,28.7072
0.377,28.7065,0.0,28.7065
0.3775,28.7058,0.0,28.7058
0.378,28.7051,0.0,28.7051
0.3785,28.7045,0.0,28.7045
0.379,28.7038,0.0,28.7038
0.3795,28.7031,0.0,28.7031
0.38,28.7024,0.0,28.7024
